lendiff1,lendiff2,lendiff3,lendiff4,lendiff5,lendiff6,lendiff7,lendiff8,lendiff9,lendiff10,lendiff11,lendiff12
122.7573953,-167.4122491,119.7802839,11.61035742,-95.4372731,53.9990971,1.015689442,-1.502034443,11.93630963,-26.00738387,13.42458339,16.87217481
-167.4122491,119.7802839,11.61035742,-95.4372731,53.9990971,1.015689442,-1.502034443,11.93630963,-26.00738387,13.42458339,16.87217481,-53.12623662
119.7802839,11.61035742,-95.4372731,53.9990971,1.015689442,-1.502034443,11.93630963,-26.00738387,13.42458339,16.87217481,-53.12623662,65.08585906
11.61035742,-95.4372731,53.9990971,1.015689442,-1.502034443,11.93630963,-26.00738387,13.42458339,16.87217481,-53.12623662,65.08585906,-56.45448886
-95.4372731,53.9990971,1.015689442,-1.502034443,11.93630963,-26.00738387,13.42458339,16.87217481,-53.12623662,65.08585906,-56.45448886,40.19763885
53.9990971,1.015689442,-1.502034443,11.93630963,-26.00738387,13.42458339,16.87217481,-53.12623662,65.08585906,-56.45448886,40.19763885,-8.475027491
1.015689442,-1.502034443,11.93630963,-26.00738387,13.42458339,16.87217481,-53.12623662,65.08585906,-56.45448886,40.19763885,-8.475027491,-11.51238523
-1.502034443,11.93630963,-26.00738387,13.42458339,16.87217481,-53.12623662,65.08585906,-56.45448886,40.19763885,-8.475027491,-11.51238523,-11.25856422
11.93630963,-26.00738387,13.42458339,16.87217481,-53.12623662,65.08585906,-56.45448886,40.19763885,-8.475027491,-11.51238523,-11.25856422,32.31048477
-26.00738387,13.42458339,16.87217481,-53.12623662,65.08585906,-56.45448886,40.19763885,-8.475027491,-11.51238523,-11.25856422,32.31048477,-19.92886524
13.42458339,16.87217481,-53.12623662,65.08585906,-56.45448886,40.19763885,-8.475027491,-11.51238523,-11.25856422,32.31048477,-19.92886524,50.22190877
16.87217481,-53.12623662,65.08585906,-56.45448886,40.19763885,-8.475027491,-11.51238523,-11.25856422,32.31048477,-19.92886524,50.22190877,-120.6771281
-53.12623662,65.08585906,-56.45448886,40.19763885,-8.475027491,-11.51238523,-11.25856422,32.31048477,-19.92886524,50.22190877,-120.6771281,79.16453962
65.08585906,-56.45448886,40.19763885,-8.475027491,-11.51238523,-11.25856422,32.31048477,-19.92886524,50.22190877,-120.6771281,79.16453962,23.95658382
-56.45448886,40.19763885,-8.475027491,-11.51238523,-11.25856422,32.31048477,-19.92886524,50.22190877,-120.6771281,79.16453962,23.95658382,-16.24494667
40.19763885,-8.475027491,-11.51238523,-11.25856422,32.31048477,-19.92886524,50.22190877,-120.6771281,79.16453962,23.95658382,-16.24494667,-41.83456052
-8.475027491,-11.51238523,-11.25856422,32.31048477,-19.92886524,50.22190877,-120.6771281,79.16453962,23.95658382,-16.24494667,-41.83456052,63.85925955
-11.51238523,-11.25856422,32.31048477,-19.92886524,50.22190877,-120.6771281,79.16453962,23.95658382,-16.24494667,-41.83456052,63.85925955,-73.39888335
-11.25856422,32.31048477,-19.92886524,50.22190877,-120.6771281,79.16453962,23.95658382,-16.24494667,-41.83456052,63.85925955,-73.39888335,71.79717784
32.31048477,-19.92886524,50.22190877,-120.6771281,79.16453962,23.95658382,-16.24494667,-41.83456052,63.85925955,-73.39888335,71.79717784,-56.64394345
-19.92886524,50.22190877,-120.6771281,79.16453962,23.95658382,-16.24494667,-41.83456052,63.85925955,-73.39888335,71.79717784,-56.64394345,36.88298883
50.22190877,-120.6771281,79.16453962,23.95658382,-16.24494667,-41.83456052,63.85925955,-73.39888335,71.79717784,-56.64394345,36.88298883,0.933759178
-120.6771281,79.16453962,23.95658382,-16.24494667,-41.83456052,63.85925955,-73.39888335,71.79717784,-56.64394345,36.88298883,0.933759178,-21.40160947
79.16453962,23.95658382,-16.24494667,-41.83456052,63.85925955,-73.39888335,71.79717784,-56.64394345,36.88298883,0.933759178,-21.40160947,-22.53858391
23.95658382,-16.24494667,-41.83456052,63.85925955,-73.39888335,71.79717784,-56.64394345,36.88298883,0.933759178,-21.40160947,-22.53858391,50.03609889
-16.24494667,-41.83456052,63.85925955,-73.39888335,71.79717784,-56.64394345,36.88298883,0.933759178,-21.40160947,-22.53858391,50.03609889,-5.996322916
-41.83456052,63.85925955,-73.39888335,71.79717784,-56.64394345,36.88298883,0.933759178,-21.40160947,-22.53858391,50.03609889,-5.996322916,-20.27459256
63.85925955,-73.39888335,71.79717784,-56.64394345,36.88298883,0.933759178,-21.40160947,-22.53858391,50.03609889,-5.996322916,-20.27459256,-9.883475265
-73.39888335,71.79717784,-56.64394345,36.88298883,0.933759178,-21.40160947,-22.53858391,50.03609889,-5.996322916,-20.27459256,-9.883475265,40.54149031
71.79717784,-56.64394345,36.88298883,0.933759178,-21.40160947,-22.53858391,50.03609889,-5.996322916,-20.27459256,-9.883475265,40.54149031,-48.53997187
-56.64394345,36.88298883,0.933759178,-21.40160947,-22.53858391,50.03609889,-5.996322916,-20.27459256,-9.883475265,40.54149031,-48.53997187,27.96054716
36.88298883,0.933759178,-21.40160947,-22.53858391,50.03609889,-5.996322916,-20.27459256,-9.883475265,40.54149031,-48.53997187,27.96054716,0.607471548
0.933759178,-21.40160947,-22.53858391,50.03609889,-5.996322916,-20.27459256,-9.883475265,40.54149031,-48.53997187,27.96054716,0.607471548,-0.816435787
-21.40160947,-22.53858391,50.03609889,-5.996322916,-20.27459256,-9.883475265,40.54149031,-48.53997187,27.96054716,0.607471548,-0.816435787,-0.707054132
-22.53858391,50.03609889,-5.996322916,-20.27459256,-9.883475265,40.54149031,-48.53997187,27.96054716,0.607471548,-0.816435787,-0.707054132,-1.39459861
50.03609889,-5.996322916,-20.27459256,-9.883475265,40.54149031,-48.53997187,27.96054716,0.607471548,-0.816435787,-0.707054132,-1.39459861,-6.221082141
-5.996322916,-20.27459256,-9.883475265,40.54149031,-48.53997187,27.96054716,0.607471548,-0.816435787,-0.707054132,-1.39459861,-6.221082141,20.53837109
-20.27459256,-9.883475265,40.54149031,-48.53997187,27.96054716,0.607471548,-0.816435787,-0.707054132,-1.39459861,-6.221082141,20.53837109,-35.49624347
-9.883475265,40.54149031,-48.53997187,27.96054716,0.607471548,-0.816435787,-0.707054132,-1.39459861,-6.221082141,20.53837109,-35.49624347,20.95233796
40.54149031,-48.53997187,27.96054716,0.607471548,-0.816435787,-0.707054132,-1.39459861,-6.221082141,20.53837109,-35.49624347,20.95233796,16.84286609
-48.53997187,27.96054716,0.607471548,-0.816435787,-0.707054132,-1.39459861,-6.221082141,20.53837109,-35.49624347,20.95233796,16.84286609,-47.88958937
27.96054716,0.607471548,-0.816435787,-0.707054132,-1.39459861,-6.221082141,20.53837109,-35.49624347,20.95233796,16.84286609,-47.88958937,55.32941777
0.607471548,-0.816435787,-0.707054132,-1.39459861,-6.221082141,20.53837109,-35.49624347,20.95233796,16.84286609,-47.88958937,55.32941777,-39.5394031
-0.816435787,-0.707054132,-1.39459861,-6.221082141,20.53837109,-35.49624347,20.95233796,16.84286609,-47.88958937,55.32941777,-39.5394031,15.36609027
-0.707054132,-1.39459861,-6.221082141,20.53837109,-35.49624347,20.95233796,16.84286609,-47.88958937,55.32941777,-39.5394031,15.36609027,15.71779499
-1.39459861,-6.221082141,20.53837109,-35.49624347,20.95233796,16.84286609,-47.88958937,55.32941777,-39.5394031,15.36609027,15.71779499,-46.35630038
-6.221082141,20.53837109,-35.49624347,20.95233796,16.84286609,-47.88958937,55.32941777,-39.5394031,15.36609027,15.71779499,-46.35630038,53.43867508
20.53837109,-35.49624347,20.95233796,16.84286609,-47.88958937,55.32941777,-39.5394031,15.36609027,15.71779499,-46.35630038,53.43867508,-29.36494484
-35.49624347,20.95233796,16.84286609,-47.88958937,55.32941777,-39.5394031,15.36609027,15.71779499,-46.35630038,53.43867508,-29.36494484,-5.351936329
20.95233796,16.84286609,-47.88958937,55.32941777,-39.5394031,15.36609027,15.71779499,-46.35630038,53.43867508,-29.36494484,-5.351936329,46.64153439
16.84286609,-47.88958937,55.32941777,-39.5394031,15.36609027,15.71779499,-46.35630038,53.43867508,-29.36494484,-5.351936329,46.64153439,-84.12414152
-47.88958937,55.32941777,-39.5394031,15.36609027,15.71779499,-46.35630038,53.43867508,-29.36494484,-5.351936329,46.64153439,-84.12414152,63.63839197
55.32941777,-39.5394031,15.36609027,15.71779499,-46.35630038,53.43867508,-29.36494484,-5.351936329,46.64153439,-84.12414152,63.63839197,0.384905082
-39.5394031,15.36609027,15.71779499,-46.35630038,53.43867508,-29.36494484,-5.351936329,46.64153439,-84.12414152,63.63839197,0.384905082,-32.48042969
15.36609027,15.71779499,-46.35630038,53.43867508,-29.36494484,-5.351936329,46.64153439,-84.12414152,63.63839197,0.384905082,-32.48042969,8.260155824
15.71779499,-46.35630038,53.43867508,-29.36494484,-5.351936329,46.64153439,-84.12414152,63.63839197,0.384905082,-32.48042969,8.260155824,48.59284035
-46.35630038,53.43867508,-29.36494484,-5.351936329,46.64153439,-84.12414152,63.63839197,0.384905082,-32.48042969,8.260155824,48.59284035,-87.30204698
53.43867508,-29.36494484,-5.351936329,46.64153439,-84.12414152,63.63839197,0.384905082,-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466
-29.36494484,-5.351936329,46.64153439,-84.12414152,63.63839197,0.384905082,-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542
-5.351936329,46.64153439,-84.12414152,63.63839197,0.384905082,-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405
46.64153439,-84.12414152,63.63839197,0.384905082,-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195
-84.12414152,63.63839197,0.384905082,-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165
63.63839197,0.384905082,-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029
0.384905082,-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752
-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067
8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884
48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779
-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403
49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195
49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804
-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393
78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764
-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548
-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853
18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491
-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467
40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621
-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329
88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038
-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695
-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914
67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289
-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549
104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023
-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178
20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506
-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068
-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451
26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685
-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016
41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785
-21.52660914,11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148
11.8171289,-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766
-22.74940549,31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409
31.41203023,-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831
-36.20135178,36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213
36.26191506,-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367
-28.49969068,-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714
-12.00083451,73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127
73.99080685,-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357
-120.0052016,114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505
114.1589785,-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637
-35.77143148,-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005
-41.09819766,61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521
61.54855409,-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383
-76.01627831,84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222
84.18656213,-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533
-40.41631367,5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543
5.73473714,-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062
-4.963158127,-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485
-35.50029357,76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587
76.87562505,-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815
-57.59121637,23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363
23.70057005,12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074
12.88172521,-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208
-29.92554383,-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657
-25.53294222,74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139
74.25046533,-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809
-26.97991543,-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128
-46.83488062,49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132
49.69815485,3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354
3.340155587,-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515
-50.41905815,52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547
52.22762363,3.160500074,-56.30414208,52.41318657,-26.27691139,6.764028809,24.98789128,-49.55566132,26.94680354,17.71986515,-43.02990547,55.64785215
