ratio1,len1,len2,len3,len4,len5,len6,len7,len8
0.527794803,104.0012413,-1.221575078,133.1464129,-1.282549144,170.4591892,-0.678109442,-0.042123279,4.741510134
0.786570723,94.83973224,2.974385884,136.7042027,3.097236153,197.0486271,-2.696460925,0.10256503,3.942838186
0.589455833,41.03647108,1.406649362,70.34144317,1.489180123,120.5736872,1.8786214,0.04850515,2.454894505
0.579987855,62.80806649,-0.755785276,66.1252125,-1.083714243,69.6175503,-0.579045709,-0.026061561,6.331618684
0.950294867,51.31506629,3.084127928,74.54537595,3.141501935,108.2920374,-2.891594466,0.106349239,3.640200015
5.847161466,7.618053631,1.502940558,20.28220968,1.570441199,53.99909866,1.827377299,0.051825536,1.981306041
1.602600437,7.404652312,0.826489258,3.106002528,-1.228916542,1.302863565,-0.847205394,0.02849963,2.584384187
0.47677909,10.82142361,0.698082031,7.071017403,2.650540227,4.620398287,2.240129629,0.024071794,2.939741936
0.585123813,17.06167788,-0.959763343,19.67861223,-1.207149513,22.69693416,-0.560978634,-0.033095288,5.756315281
0.852985201,12.20915079,3.001708798,18.86816699,-3.009793474,29.15908991,-2.580306549,0.1035072,3.763075741
0.255128457,9.550203462,1.368549342,11.69171694,1.88151852,14.31343799,1.963060418,0.047191357,2.033760793
0.432484614,30.60990275,-0.897308605,33.84993473,-1.143036518,37.43292131,-0.703077378,-0.030941676,5.345580608
0.532473893,41.06423686,2.885616304,53.91101673,2.911750326,70.77685954,2.324244887,0.09950401,4.108035341
0.553012855,36.07142296,-1.349159311,52.7429426,-1.357731408,77.11971877,-0.739473705,-0.046522735,4.501068699
0.696131662,29.17156382,2.951363753,43.62082547,3.032564769,65.22709672,-2.540346443,0.101771164,4.24528873
1.131328564,14.75556505,1.405376436,24.86635243,1.445709251,41.90523923,-2.800767876,0.048461256,3.192795197
0.848507324,9.890166487,-0.641745213,11.35756805,0.918825409,13.04268761,1.711441198,-0.022129145,5.281442501
0.410805459,11.00070451,-2.699753132,11.32359305,-0.591490456,11.65595889,-0.454172099,-0.093094936,5.126745797
0.624594871,22.2129267,2.542131176,24.38905868,2.929795051,26.7783796,2.290743327,0.087659696,3.018283884
0.550316206,15.66373242,-1.343742366,23.60213622,-1.38911275,35.56373533,-0.881137376,-0.046335944,4.751652996
0.214412919,20.61493026,2.731275128,24.22325001,2.731104474,28.46314947,2.323854224,0.094181901,5.615892117
0.537391641,77.02859132,-1.018381111,86.05803758,-1.192790002,96.14593367,-0.594446041,-0.03511659,5.066595433
0.954227391,76.31803949,3.049131378,104.5909547,-3.086110916,143.3379038,-2.785157871,0.105142461,3.425080704
0.824179927,27.27900857,1.453186475,46.70914896,1.75619722,79.97888159,-2.145496575,0.050109878,1.77683091
0.97834776,28.69109162,1.046466679,30.81603869,1.231546738,33.09836562,1.871598238,0.036085058,1.883916684
0.39535951,23.69439941,-0.612992601,26.36026435,-0.826599812,29.32606666,-0.58976923,-0.021137676,6.808730233
0.458083,37.28949815,2.842572768,47.27374702,2.863537089,59.9312747,2.328002918,0.098019751,4.085420856
0.488126495,44.12585979,-1.312055807,59.9332422,-1.311158441,81.40336615,-0.763411978,-0.045243304,4.451147071
0.557435223,46.43473612,2.915569039,64.78909157,2.933480522,90.39841156,2.336149346,0.100536863,4.293530234
0.572519677,36.92365807,-1.360865129,55.45958909,-1.372248188,83.30068534,-0.727560581,-0.046926384,4.519474365
0.73491934,27.57269304,2.951625273,42.16933424,3.071996727,64.49325596,-2.699185236,0.101780182,4.2412455
0.727766385,14.40900916,1.381910283,23.2507418,1.450454665,37.51798534,-2.35554758,0.047652079,2.539210273
0.856518561,19.05663358,-0.72792461,19.42424532,1.081990748,19.79894847,1.835714206,-0.025100849,5.219212763
0.447443678,20.73803933,-2.676428949,21.48021131,-0.627700202,22.2489441,-0.440326537,-0.092290653,5.083158868
0.714493814,36.90293755,2.667094145,41.35662861,3.021625088,46.34782063,-2.526984724,0.091968764,2.947156753
1.14364226,21.55766353,1.350826654,33.36814601,1.43929849,51.64906516,-2.506200121,0.046580229,2.688858939
0.826621839,16.7695741,-0.74796398,17.77938619,1.02320061,18.85000605,1.80666771,-0.025791861,5.420444657
0.435564794,12.02071701,-2.764510036,15.61610662,-0.55751242,20.28687521,-0.48434004,-0.095327932,5.272443745
0.419795771,22.57277149,2.492879189,24.95923353,2.787210422,27.59799958,2.238604249,0.085961351,3.190128874
0.566798067,31.24054309,-1.26971533,40.98573245,-1.306472142,53.77084065,-0.670450282,-0.043783287,4.658720538
0.898714415,25.13365659,3.037310237,37.21970663,3.133977801,55.11758931,-2.721617804,0.104734836,3.807351433
3.982451233,6.882841739,1.450596996,13.87397401,1.554155157,27.96623285,-2.533161506,0.050020586,2.220012047
3.330124108,5.993845492,0.83683363,3.218558673,1.035189002,1.728292787,2.963887001,0.028856332,0.86158251
1.933280595,4.322715438,0.812462591,2.789336345,0.747527039,1.79988652,-0.726314722,0.028015951,0.198728974
0.875078056,2.781793768,0.871585949,2.49398216,0.819185457,2.235948288,1.602916913,0.030054688,0.489819335
0.219386417,2.72223913,-0.613373935,2.941725902,-0.802629052,3.178909297,-0.626337233,-0.021150825,6.519465374
0.298453616,9.686320053,2.678102256,10.96320855,2.741819679,12.40842147,2.276471145,0.092348354,4.322954008
0.55828014,22.93903164,-1.148622861,27.2852869,-1.244112173,32.45502657,-0.591030134,-0.039607685,4.855040352
0.931303047,20.2215867,3.057469497,28.8249834,-3.040356057,41.08874741,-2.62549236,0.105429983,3.443114637
0.278001817,9.696778087,1.455187779,14.51028128,1.814715393,21.71321866,1.934133673,0.050178889,1.999163532
0.438686696,27.56588836,-0.934073944,31.00815369,-1.158211434,34.88026877,-0.700192211,-0.032209446,5.292838221
0.564100083,35.8701759,2.890975146,47.47615267,2.933224462,62.8373019,2.303050918,0.099688798,4.113654425
0.657488219,27.91006949,-1.358941968,42.12783397,-1.386797158,63.58831874,-0.639072291,-0.046860068,4.654558255
0.903168734,14.66184765,3.043270214,24.94771777,-3.023541479,42.44953548,-2.619092371,0.104940352,3.853476107
0.277263861,9.19721642,1.415000521,12.21906871,1.866747048,16.23378567,1.952189228,0.048793121,2.01001009
0.428618545,26.28619733,-0.926991698,29.52877644,-1.153213395,33.17134946,-0.688925669,-0.031965231,5.300208239
0.597323119,35.59916518,2.883956028,46.72489239,2.954879832,61.32771815,2.255748281,0.09944676,4.070278093
0.844245426,24.84658502,-1.366184918,38.48119923,-1.422727606,59.5978358,-0.349299969,-0.047109825,4.961145522
0.277449897,6.89639953,-2.908206025,14.24656625,-2.614935663,29.43052371,-2.018439828,-0.100282966,2.54743729
0.303936541,22.59582834,2.137252245,23.69916561,2.678521073,24.85637802,2.231077272,0.073698353,3.208561594
0.519181276,52.30126129,-1.137252692,62.35607289,-1.235186194,74.34390167,-0.662224866,-0.03921561,4.849702042
0.798002915,51.23015594,2.993574269,71.83885625,3.090007212,100.7379574,-2.655328776,0.103226699,3.795139402
0.748077872,17.88148539,1.438822505,33.88148182,1.486013435,64.1979559,1.891771908,0.049614569,2.67765922
0.6127011,21.77117995,-0.739554701,22.81231583,-1.052178406,23.90324065,-0.333034518,-0.025501886,6.582389457
0.646678189,16.63783737,-3.128609102,24.31448588,-2.713217907,35.5331171,-2.173915856,-0.107883072,2.78174121
0.32126771,25.27661945,1.595913892,25.5013884,2.512590243,25.72815608,2.118403895,0.055031514,2.493347851
0.549410604,55.35340837,-1.093427238,65.99304074,-1.238058163,78.67774639,-0.567229869,-0.037704388,5.050313341
0.918156838,48.64950371,3.035132236,70.0104505,-2.99978053,100.7505279,-2.589943893,0.104659732,3.464798478
0.339463507,31.69517771,1.416827168,40.9805107,1.926121712,52.98604955,1.93728121,0.048856109,1.957621385
0.533629371,70.38507209,-0.971629977,81.06629578,-1.199998343,93.36843903,-0.648386066,-0.033504482,5.415153562
0.811164086,64.11274387,2.999728846,91.95865264,3.08941467,131.8987971,-2.545743751,0.103438926,3.87108715
1.555754122,21.00431144,1.439251026,40.74478678,1.502695497,79.03794676,1.951976181,0.049629346,2.913681316
0.709855045,12.59943536,-0.86202996,13.04245317,-0.924262208,13.50104824,-0.660096461,-0.029725171,7.272685902
0.241402395,7.832887076,2.768725178,11.7910271,2.794142779,17.74930734,2.370523914,0.095473282,5.527852434
0.532310744,24.88897411,-1.088552616,28.41800872,-1.210590837,32.44742898,-0.755914631,-0.037536297,4.897524801
0.429183824,23.67150364,2.995477813,33.2685448,2.85218866,46.75647519,2.385541009,0.103292338,4.182907979
0.370072807,34.90120922,-1.414238007,43.87443002,-1.259673749,55.1546967,-0.727365959,-0.048766828,3.941149458
0.626823207,60.87994819,2.834767029,75.77287872,2.966951967,94.30903475,-2.417327536,0.097750587,3.910886407
1.046098068,41.1841058,-1.359243327,63.24546997,1.426840811,97.12459197,2.024541717,-0.04687046,4.496107319
0.283799075,13.07810961,-2.607724342,22.69086787,-0.645593412,39.369259,-0.538135498,-0.089921529,5.15524749
0.33666337,33.85057358,2.696157352,39.49571811,2.770342131,46.08228412,2.299882298,0.092970943,4.033986049
0.479655795,66.7423044,-1.21009711,81.919196,-1.248553061,100.5472426,-0.711289437,-0.041727487,4.628029144
0.660445234,74.34337361,2.937519762,101.7084143,2.993188988,139.1462485,2.297077666,0.101293785,4.020883886
0.795631822,39.46598004,-1.410068287,66.65215155,-1.440919019,112.5655388,-0.830371426,-0.048623044,4.734000473
0.425056443,11.17390216,2.922689222,23.54278333,2.908723979,49.60332022,2.344957681,0.100782387,5.074580382
0.737130202,15.1174579,-1.307143645,19.9351044,-1.344078116,26.28804327,-0.336866255,-0.045073919,4.77565628
0.604144845,10.19803866,-2.905878133,14.46190845,-2.624282231,20.5085314,-2.050234047,-0.100202694,2.252246073
0.404456339,15.13349159,2.189338581,15.98296542,2.712944695,16.88012195,2.21839037,0.075494434,2.821730303
0.435505484,22.32977178,-1.241349905,28.90519403,-1.269236071,37.41687333,-0.728580628,-0.042805169,4.575671422
0.632094944,28.98414621,2.880962612,38.55010667,2.973268904,51.27322757,2.293236187,0.099343538,4.203400179
0.835021844,18.76896851,-1.364299406,29.33656766,-1.425020157,45.85410229,-0.852335434,-0.047044807,4.952647746
0.317696733,5.950372682,2.803597598,11.56493958,2.839504846,22.47721858,2.419503536,0.096675779,5.591212214
0.421024741,12.94090238,-1.138213665,15.5685437,-1.216950984,18.72972577,-0.753168059,-0.039248747,4.749542994
0.440723917,17.83872912,2.854090528,23.41587695,2.865018809,30.73667915,2.33590379,0.098416915,4.328371521
0.512698858,22.63888075,-1.297143576,30.27095494,-1.307537613,40.47597242,-0.770927684,-0.044729089,4.507292897
0.495068866,21.61455705,2.925410689,30.89366771,2.912397511,44.15629256,2.277222181,0.100876231,4.336466958
0.773250323,22.09616664,-1.357623421,31.05981256,-1.380630775,43.65969773,-0.322785701,-0.046814601,4.760497819
0.348102407,15.44667622,-2.832074707,21.00951055,-2.600342102,28.57569662,-2.000628664,-0.097657749,2.096921371
0.357240788,38.96953291,2.272453938,41.58403319,2.7208719,44.37394259,2.247686624,0.078360481,3.191135412
0.470188975,70.56306543,-1.192525098,87.73457983,-1.251617563,109.0847804,-0.708179462,-0.041121555,4.704682495
0.661812323,80.37230136,2.917203857,109.8261352,3.003105748,150.0738409,-2.480415915,0.100593236,4.082493163
1.061569704,45.38764281,1.399146459,74.24284255,1.435750712,121.4427392,1.99474298,0.04824643,3.410186082
0.427280591,25.15855627,-0.559018155,32.79724877,-0.740871789,42.75521678,-0.550906412,-0.019276488,7.076779282
0.467653314,36.72826186,2.872644382,46.50358808,2.863024158,58.88064382,2.340268385,0.099056703,3.918163994
0.426173202,42.37998463,-1.345386729,57.6923962,-1.302825353,78.53737108,-0.743952225,-0.046392646,4.253531068
0.620872305,57.30732596,2.876538707,75.49051722,2.970218522,99.44310075,2.257811215,0.09919099,4.147150637
0.947681564,38.40551406,-1.363666574,59.53888805,-1.433962532,92.30130822,-0.848965431,-0.047022985,5.078071751
0.246635257,2.266895726,-3.050587111,9.5847623,2.857145372,40.52575834,-2.891710855,-0.105192659,4.836624651
0.573347809,8.576639508,-1.709099488,8.878646599,1.131518881,9.191288192,1.815466611,-0.058934465,1.995655811
0.335589212,21.96190826,-2.495535516,18.12527215,-0.843354345,14.95887728,-0.58532148,-0.086052949,4.082853282
0.552082952,49.55030918,2.690156022,56.94482005,2.893880266,65.44283143,2.250480825,0.092764001,3.495926665
0.68439187,42.10900978,-1.317448912,61.47641452,-1.3782848,89.75156534,-0.682269954,-0.045429273,4.864692938
0.820953182,19.52150016,2.985306611,34.65705758,-3.112385507,61.52763006,-2.722532788,0.102941607,4.237834222
0.403774926,11.98106744,1.362445227,16.87893946,1.643126008,23.77906633,-2.143202553,0.04698087,2.048577084
0.827987642,25.0705389,-0.857130433,27.27469596,1.211740051,29.67263857,1.928486402,-0.029556222,4.900531487
0.391658533,23.70649428,-2.71972771,26.79190378,-0.591195749,30.27888054,-0.45353572,-0.093783714,5.171150974
0.60996139,49.7889626,2.540137607,54.89672163,2.931227714,60.52847637,-2.473842724,0.087590952,3.050392025
0.981584944,37.750216,-1.336988274,55.51049325,1.390360238,81.62641667,1.95481716,-0.046103044,4.336505724
0.465594579,29.48929741,-2.587142492,33.67658065,-0.796913171,38.45843014,-0.491412473,-0.08921181,4.899550178
0.779692171,39.13163639,2.939444852,49.78428335,3.083436594,63.33685727,-2.66153619,0.101360167,3.457948904
0.507555785,15.90308911,1.418734764,28.25160752,1.475517957,50.18857167,1.898509348,0.048921888,2.569624976
0.429216124,28.55827428,-0.703733881,29.91333505,-1.02869141,31.33269206,-0.591276548,-0.024266686,6.187546143
0.737890019,39.20157283,2.897909934,51.0716292,3.065947044,66.53588416,-2.679638871,0.099927929,3.79914233
0.578504441,21.62489906,1.364558939,33.89479195,1.447465616,53.1265796,1.886126029,0.047053757,2.449013496
0.491646834,34.42813954,-0.711588195,35.87405528,-1.035314569,37.3806967,-0.626914052,-0.024537524,6.307972927
0.663389867,37.53523321,2.960479921,51.26839398,2.988609468,70.02615934,2.305838577,0.102085515,3.939485083
0.687302762,19.0892855,-1.424471988,32.86472323,-1.434290993,56.58095654,-0.510232092,-0.049119724,4.541459689
0.669853461,8.684971995,3.025802416,15.53119968,-2.792976186,27.77420164,-2.305304051,0.104338014,3.61189176
0.319677507,13.92675641,1.351367832,13.43752539,2.387482244,12.9654805,2.073599863,0.046598891,2.285779022
