len1,len2,len3,len4,len5,len6,len7
170.4591892,197.0486271,120.5736872,69.6175503,108.2920374,53.99909866,1.302863565
197.0486271,120.5736872,69.6175503,108.2920374,53.99909866,1.302863565,4.620398287
120.5736872,69.6175503,108.2920374,53.99909866,1.302863565,4.620398287,22.69693416
69.6175503,108.2920374,53.99909866,1.302863565,4.620398287,22.69693416,29.15908991
108.2920374,53.99909866,1.302863565,4.620398287,22.69693416,29.15908991,14.31343799
53.99909866,1.302863565,4.620398287,22.69693416,29.15908991,14.31343799,37.43292131
1.302863565,4.620398287,22.69693416,29.15908991,14.31343799,37.43292131,70.77685954
4.620398287,22.69693416,29.15908991,14.31343799,37.43292131,70.77685954,77.11971877
22.69693416,29.15908991,14.31343799,37.43292131,70.77685954,77.11971877,65.22709672
29.15908991,14.31343799,37.43292131,70.77685954,77.11971877,65.22709672,41.90523923
14.31343799,37.43292131,70.77685954,77.11971877,65.22709672,41.90523923,13.04268761
37.43292131,70.77685954,77.11971877,65.22709672,41.90523923,13.04268761,11.65595889
70.77685954,77.11971877,65.22709672,41.90523923,13.04268761,11.65595889,26.7783796
77.11971877,65.22709672,41.90523923,13.04268761,11.65595889,26.7783796,35.56373533
65.22709672,41.90523923,13.04268761,11.65595889,26.7783796,35.56373533,28.46314947
41.90523923,13.04268761,11.65595889,26.7783796,35.56373533,28.46314947,96.14593367
13.04268761,11.65595889,26.7783796,35.56373533,28.46314947,96.14593367,143.3379038
11.65595889,26.7783796,35.56373533,28.46314947,96.14593367,143.3379038,79.97888159
26.7783796,35.56373533,28.46314947,96.14593367,143.3379038,79.97888159,33.09836562
35.56373533,28.46314947,96.14593367,143.3379038,79.97888159,33.09836562,29.32606666
28.46314947,96.14593367,143.3379038,79.97888159,33.09836562,29.32606666,59.9312747
96.14593367,143.3379038,79.97888159,33.09836562,29.32606666,59.9312747,81.40336615
143.3379038,79.97888159,33.09836562,29.32606666,59.9312747,81.40336615,90.39841156
79.97888159,33.09836562,29.32606666,59.9312747,81.40336615,90.39841156,83.30068534
33.09836562,29.32606666,59.9312747,81.40336615,90.39841156,83.30068534,64.49325596
29.32606666,59.9312747,81.40336615,90.39841156,83.30068534,64.49325596,37.51798534
59.9312747,81.40336615,90.39841156,83.30068534,64.49325596,37.51798534,19.79894847
81.40336615,90.39841156,83.30068534,64.49325596,37.51798534,19.79894847,22.2489441
90.39841156,83.30068534,64.49325596,37.51798534,19.79894847,22.2489441,46.34782063
83.30068534,64.49325596,37.51798534,19.79894847,22.2489441,46.34782063,51.64906516
64.49325596,37.51798534,19.79894847,22.2489441,46.34782063,51.64906516,18.85000605
37.51798534,19.79894847,22.2489441,46.34782063,51.64906516,18.85000605,20.28687521
19.79894847,22.2489441,46.34782063,51.64906516,18.85000605,20.28687521,27.59799958
22.2489441,46.34782063,51.64906516,18.85000605,20.28687521,27.59799958,53.77084065
46.34782063,51.64906516,18.85000605,20.28687521,27.59799958,53.77084065,55.11758931
51.64906516,18.85000605,20.28687521,27.59799958,53.77084065,55.11758931,27.96623285
18.85000605,20.28687521,27.59799958,53.77084065,55.11758931,27.96623285,1.728292787
20.28687521,27.59799958,53.77084065,55.11758931,27.96623285,1.728292787,1.79988652
27.59799958,53.77084065,55.11758931,27.96623285,1.728292787,1.79988652,2.235948288
53.77084065,55.11758931,27.96623285,1.728292787,1.79988652,2.235948288,3.178909297
55.11758931,27.96623285,1.728292787,1.79988652,2.235948288,3.178909297,12.40842147
27.96623285,1.728292787,1.79988652,2.235948288,3.178909297,12.40842147,32.45502657
1.728292787,1.79988652,2.235948288,3.178909297,12.40842147,32.45502657,41.08874741
1.79988652,2.235948288,3.178909297,12.40842147,32.45502657,41.08874741,21.71321866
2.235948288,3.178909297,12.40842147,32.45502657,41.08874741,21.71321866,34.88026877
3.178909297,12.40842147,32.45502657,41.08874741,21.71321866,34.88026877,62.8373019
12.40842147,32.45502657,41.08874741,21.71321866,34.88026877,62.8373019,63.58831874
32.45502657,41.08874741,21.71321866,34.88026877,62.8373019,63.58831874,42.44953548
41.08874741,21.71321866,34.88026877,62.8373019,63.58831874,42.44953548,16.23378567
21.71321866,34.88026877,62.8373019,63.58831874,42.44953548,16.23378567,33.17134946
34.88026877,62.8373019,63.58831874,42.44953548,16.23378567,33.17134946,61.32771815
62.8373019,63.58831874,42.44953548,16.23378567,33.17134946,61.32771815,59.5978358
63.58831874,42.44953548,16.23378567,33.17134946,61.32771815,59.5978358,29.43052371
42.44953548,16.23378567,33.17134946,61.32771815,59.5978358,29.43052371,24.85637802
16.23378567,33.17134946,61.32771815,59.5978358,29.43052371,24.85637802,74.34390167
33.17134946,61.32771815,59.5978358,29.43052371,24.85637802,74.34390167,100.7379574
61.32771815,59.5978358,29.43052371,24.85637802,74.34390167,100.7379574,64.1979559
59.5978358,29.43052371,24.85637802,74.34390167,100.7379574,64.1979559,23.90324065
29.43052371,24.85637802,74.34390167,100.7379574,64.1979559,23.90324065,35.5331171
24.85637802,74.34390167,100.7379574,64.1979559,23.90324065,35.5331171,25.72815608
74.34390167,100.7379574,64.1979559,23.90324065,35.5331171,25.72815608,78.67774639
100.7379574,64.1979559,23.90324065,35.5331171,25.72815608,78.67774639,100.7505279
64.1979559,23.90324065,35.5331171,25.72815608,78.67774639,100.7505279,52.98604955
23.90324065,35.5331171,25.72815608,78.67774639,100.7505279,52.98604955,93.36843903
35.5331171,25.72815608,78.67774639,100.7505279,52.98604955,93.36843903,131.8987971
25.72815608,78.67774639,100.7505279,52.98604955,93.36843903,131.8987971,79.03794676
78.67774639,100.7505279,52.98604955,93.36843903,131.8987971,79.03794676,13.50104824
100.7505279,52.98604955,93.36843903,131.8987971,79.03794676,13.50104824,17.74930734
52.98604955,93.36843903,131.8987971,79.03794676,13.50104824,17.74930734,32.44742898
93.36843903,131.8987971,79.03794676,13.50104824,17.74930734,32.44742898,46.75647519
131.8987971,79.03794676,13.50104824,17.74930734,32.44742898,46.75647519,55.1546967
79.03794676,13.50104824,17.74930734,32.44742898,46.75647519,55.1546967,94.30903475
13.50104824,17.74930734,32.44742898,46.75647519,55.1546967,94.30903475,97.12459197
17.74930734,32.44742898,46.75647519,55.1546967,94.30903475,97.12459197,39.369259
32.44742898,46.75647519,55.1546967,94.30903475,97.12459197,39.369259,46.08228412
46.75647519,55.1546967,94.30903475,97.12459197,39.369259,46.08228412,100.5472426
55.1546967,94.30903475,97.12459197,39.369259,46.08228412,100.5472426,139.1462485
94.30903475,97.12459197,39.369259,46.08228412,100.5472426,139.1462485,112.5655388
97.12459197,39.369259,46.08228412,100.5472426,139.1462485,112.5655388,49.60332022
39.369259,46.08228412,100.5472426,139.1462485,112.5655388,49.60332022,26.28804327
46.08228412,100.5472426,139.1462485,112.5655388,49.60332022,26.28804327,20.5085314
100.5472426,139.1462485,112.5655388,49.60332022,26.28804327,20.5085314,16.88012195
139.1462485,112.5655388,49.60332022,26.28804327,20.5085314,16.88012195,37.41687333
112.5655388,49.60332022,26.28804327,20.5085314,16.88012195,37.41687333,51.27322757
49.60332022,26.28804327,20.5085314,16.88012195,37.41687333,51.27322757,45.85410229
26.28804327,20.5085314,16.88012195,37.41687333,51.27322757,45.85410229,22.47721858
20.5085314,16.88012195,37.41687333,51.27322757,45.85410229,22.47721858,18.72972577
16.88012195,37.41687333,51.27322757,45.85410229,22.47721858,18.72972577,30.73667915
37.41687333,51.27322757,45.85410229,22.47721858,18.72972577,30.73667915,40.47597242
51.27322757,45.85410229,22.47721858,18.72972577,30.73667915,40.47597242,44.15629256
45.85410229,22.47721858,18.72972577,30.73667915,40.47597242,44.15629256,43.65969773
22.47721858,18.72972577,30.73667915,40.47597242,44.15629256,43.65969773,28.57569662
18.72972577,30.73667915,40.47597242,44.15629256,43.65969773,28.57569662,44.37394259
30.73667915,40.47597242,44.15629256,43.65969773,28.57569662,44.37394259,109.0847804
40.47597242,44.15629256,43.65969773,28.57569662,44.37394259,109.0847804,150.0738409
44.15629256,43.65969773,28.57569662,44.37394259,109.0847804,150.0738409,121.4427392
43.65969773,28.57569662,44.37394259,109.0847804,150.0738409,121.4427392,42.75521678
28.57569662,44.37394259,109.0847804,150.0738409,121.4427392,42.75521678,58.88064382
44.37394259,109.0847804,150.0738409,121.4427392,42.75521678,58.88064382,78.53737108
109.0847804,150.0738409,121.4427392,42.75521678,58.88064382,78.53737108,99.44310075
150.0738409,121.4427392,42.75521678,58.88064382,78.53737108,99.44310075,92.30130822
121.4427392,42.75521678,58.88064382,78.53737108,99.44310075,92.30130822,40.52575834
42.75521678,58.88064382,78.53737108,99.44310075,92.30130822,40.52575834,9.191288192
58.88064382,78.53737108,99.44310075,92.30130822,40.52575834,9.191288192,14.95887728
78.53737108,99.44310075,92.30130822,40.52575834,9.191288192,14.95887728,65.44283143
99.44310075,92.30130822,40.52575834,9.191288192,14.95887728,65.44283143,89.75156534
92.30130822,40.52575834,9.191288192,14.95887728,65.44283143,89.75156534,61.52763006
40.52575834,9.191288192,14.95887728,65.44283143,89.75156534,61.52763006,23.77906633
9.191288192,14.95887728,65.44283143,89.75156534,61.52763006,23.77906633,29.67263857
14.95887728,65.44283143,89.75156534,61.52763006,23.77906633,29.67263857,30.27888054
65.44283143,89.75156534,61.52763006,23.77906633,29.67263857,30.27888054,60.52847637
89.75156534,61.52763006,23.77906633,29.67263857,30.27888054,60.52847637,81.62641667
61.52763006,23.77906633,29.67263857,30.27888054,60.52847637,81.62641667,38.45843014
23.77906633,29.67263857,30.27888054,60.52847637,81.62641667,38.45843014,63.33685727
29.67263857,30.27888054,60.52847637,81.62641667,38.45843014,63.33685727,50.18857167
30.27888054,60.52847637,81.62641667,38.45843014,63.33685727,50.18857167,31.33269206
60.52847637,81.62641667,38.45843014,63.33685727,50.18857167,31.33269206,66.53588416
81.62641667,38.45843014,63.33685727,50.18857167,31.33269206,66.53588416,53.1265796
38.45843014,63.33685727,50.18857167,31.33269206,66.53588416,53.1265796,37.3806967
63.33685727,50.18857167,31.33269206,66.53588416,53.1265796,37.3806967,70.02615934
50.18857167,31.33269206,66.53588416,53.1265796,37.3806967,70.02615934,56.58095654
31.33269206,66.53588416,53.1265796,37.3806967,70.02615934,56.58095654,27.77420164
66.53588416,53.1265796,37.3806967,70.02615934,56.58095654,27.77420164,12.9654805
53.1265796,37.3806967,70.02615934,56.58095654,27.77420164,12.9654805,43.56501823
37.3806967,70.02615934,56.58095654,27.77420164,12.9654805,43.56501823,56.39913613
70.02615934,56.58095654,27.77420164,12.9654805,43.56501823,56.39913613,27.83139121
56.58095654,27.77420164,12.9654805,43.56501823,56.39913613,27.83139121,33.11272134
27.77420164,12.9654805,43.56501823,56.39913613,27.83139121,33.11272134,57.16775063
12.9654805,43.56501823,56.39913613,27.83139121,33.11272134,57.16775063,67.68632428
43.56501823,56.39913613,27.83139121,33.11272134,57.16775063,67.68632428,41.94033879
56.39913613,27.83139121,33.11272134,57.16775063,67.68632428,41.94033879,63.69969851
27.83139121,33.11272134,57.16775063,67.68632428,41.94033879,63.69969851,79.58282262
33.11272134,57.16775063,67.68632428,41.94033879,63.69969851,79.58282262,30.12669038
57.16775063,67.68632428,41.94033879,63.69969851,79.58282262,30.12669038,24.45793772
67.68632428,41.94033879,63.69969851,79.58282262,30.12669038,24.45793772,62.20229164
41.94033879,63.69969851,79.58282262,30.12669038,24.45793772,62.20229164,97.12450431
63.69969851,79.58282262,30.12669038,24.45793772,62.20229164,97.12450431,72.00318956
79.58282262,30.12669038,24.45793772,62.20229164,97.12450431,72.00318956,13.23690566
30.12669038,24.45793772,62.20229164,97.12450431,72.00318956,13.23690566,54.48145149
24.45793772,62.20229164,97.12450431,72.00318956,13.23690566,54.48145149,110.4892115
62.20229164,97.12450431,72.00318956,13.23690566,54.48145149,110.4892115,91.37706924
97.12450431,72.00318956,13.23690566,54.48145149,110.4892115,91.37706924,25.37712489
72.00318956,13.23690566,54.48145149,110.4892115,91.37706924,25.37712489,4.336901063
13.23690566,54.48145149,110.4892115,91.37706924,25.37712489,4.336901063,7.447658827
54.48145149,110.4892115,91.37706924,25.37712489,4.336901063,7.447658827,6.687657414
110.4892115,91.37706924,25.37712489,4.336901063,7.447658827,6.687657414,19.75526265
91.37706924,25.37712489,4.336901063,7.447658827,6.687657414,19.75526265,34.16304645
25.37712489,4.336901063,7.447658827,6.687657414,19.75526265,34.16304645,41.57369329
4.336901063,7.447658827,6.687657414,19.75526265,34.16304645,41.57369329,26.57272155
7.447658827,6.687657414,19.75526265,34.16304645,41.57369329,26.57272155,56.47907037
6.687657414,19.75526265,34.16304645,41.57369329,26.57272155,56.47907037,66.86473023
19.75526265,34.16304645,41.57369329,26.57272155,56.47907037,66.86473023,35.0318382
34.16304645,41.57369329,26.57272155,56.47907037,66.86473023,35.0318382,85.90788867
41.57369329,26.57272155,56.47907037,66.86473023,35.0318382,85.90788867,85.10909993
26.57272155,56.47907037,66.86473023,35.0318382,85.90788867,85.10909993,27.42036704
56.47907037,66.86473023,35.0318382,85.90788867,85.10909993,27.42036704,15.1682668
66.86473023,35.0318382,85.90788867,85.10909993,27.42036704,15.1682668,26.65524686
35.0318382,85.90788867,85.10909993,27.42036704,15.1682668,26.65524686,78.10862543
85.90788867,85.10909993,27.42036704,15.1682668,26.65524686,78.10862543,98.48618219
85.10909993,27.42036704,15.1682668,26.65524686,78.10862543,98.48618219,52.50695711
27.42036704,15.1682668,26.65524686,78.10862543,98.48618219,52.50695711,23.08303209
15.1682668,26.65524686,78.10862543,98.48618219,52.50695711,23.08303209,26.96076143
26.65524686,78.10862543,98.48618219,52.50695711,23.08303209,26.96076143,12.33674399
78.10862543,98.48618219,52.50695711,23.08303209,26.96076143,12.33674399,9.466750865
98.48618219,52.50695711,23.08303209,26.96076143,12.33674399,9.466750865,49.81932372
52.50695711,23.08303209,26.96076143,12.33674399,9.466750865,49.81932372,79.18804087
23.08303209,26.96076143,12.33674399,9.466750865,49.81932372,79.18804087,41.80495728
26.96076143,12.33674399,9.466750865,49.81932372,79.18804087,41.80495728,41.53553716
12.33674399,9.466750865,49.81932372,79.18804087,41.80495728,41.53553716,31.95467305
9.466750865,49.81932372,79.18804087,41.80495728,41.53553716,31.95467305,58.34579936
49.81932372,79.18804087,41.80495728,41.53553716,31.95467305,58.34579936,40.39315454
79.18804087,41.80495728,41.53553716,31.95467305,58.34579936,40.39315454,31.21326117
41.80495728,41.53553716,31.95467305,58.34579936,40.39315454,31.21326117,59.54805163
41.53553716,31.95467305,58.34579936,40.39315454,31.21326117,59.54805163,49.22568656
31.95467305,58.34579936,40.39315454,31.21326117,59.54805163,49.22568656,28.09617033
58.34579936,40.39315454,31.21326117,59.54805163,49.22568656,28.09617033,35.78954823
40.39315454,31.21326117,59.54805163,49.22568656,28.09617033,35.78954823,43.83241006
31.21326117,59.54805163,49.22568656,28.09617033,35.78954823,43.83241006,25.56528725
59.54805163,49.22568656,28.09617033,35.78954823,43.83241006,25.56528725,56.3537255
49.22568656,28.09617033,35.78954823,43.83241006,25.56528725,56.3537255,100.685678
28.09617033,35.78954823,43.83241006,25.56528725,56.3537255,100.685678,82.36836266
35.78954823,43.83241006,25.56528725,56.3537255,100.685678,82.36836266,29.98544609
43.83241006,25.56528725,56.3537255,100.685678,82.36836266,29.98544609,38.307711
25.56528725,56.3537255,100.685678,82.36836266,29.98544609,38.307711,56.17581661
56.3537255,100.685678,82.36836266,29.98544609,38.307711,56.17581661,32.0817463
100.685678,82.36836266,29.98544609,38.307711,56.17581661,32.0817463,53.14915349
82.36836266,29.98544609,38.307711,56.17581661,32.0817463,53.14915349,48.30825825
29.98544609,38.307711,56.17581661,32.0817463,53.14915349,48.30825825,150.9233743
38.307711,56.17581661,32.0817463,53.14915349,48.30825825,150.9233743,219.5183507
56.17581661,32.0817463,53.14915349,48.30825825,150.9233743,219.5183507,186.3141464
32.0817463,53.14915349,48.30825825,150.9233743,219.5183507,186.3141464,107.7216465
53.14915349,48.30825825,150.9233743,219.5183507,186.3141464,107.7216465,64.90883356
48.30825825,150.9233743,219.5183507,186.3141464,107.7216465,64.90883356,158.0426495
150.9233743,219.5183507,186.3141464,107.7216465,64.90883356,158.0426495,163.4982994
219.5183507,186.3141464,107.7216465,64.90883356,158.0426495,163.4982994,95.87756483
186.3141464,107.7216465,64.90883356,158.0426495,163.4982994,95.87756483,47.03128003
107.7216465,64.90883356,158.0426495,163.4982994,95.87756483,47.03128003,16.49350573
64.90883356,158.0426495,163.4982994,95.87756483,47.03128003,16.49350573,20.91037902
158.0426495,163.4982994,95.87756483,47.03128003,16.49350573,20.91037902,17.33392575
163.4982994,95.87756483,47.03128003,16.49350573,20.91037902,17.33392575,66.89437439
95.87756483,47.03128003,16.49350573,20.91037902,17.33392575,66.89437439,105.550495
47.03128003,16.49350573,20.91037902,17.33392575,66.89437439,105.550495,64.26563991
16.49350573,20.91037902,17.33392575,66.89437439,105.550495,64.26563991,17.29422432
20.91037902,17.33392575,66.89437439,105.550495,64.26563991,17.29422432,25.59713959
17.33392575,66.89437439,105.550495,64.26563991,17.29422432,25.59713959,16.23204266
66.89437439,105.550495,64.26563991,17.29422432,25.59713959,16.23204266,26.88081411
105.550495,64.26563991,17.29422432,25.59713959,16.23204266,26.88081411,23.4276429
64.26563991,17.29422432,25.59713959,16.23204266,26.88081411,23.4276429,42.87491929
17.29422432,25.59713959,16.23204266,26.88081411,23.4276429,42.87491929,27.50325454
25.59713959,16.23204266,26.88081411,23.4276429,42.87491929,27.50325454,61.94950855
16.23204266,26.88081411,23.4276429,42.87491929,27.50325454,61.94950855,83.45107763
26.88081411,23.4276429,42.87491929,27.50325454,61.94950855,83.45107763,56.88079346
23.4276429,42.87491929,27.50325454,61.94950855,83.45107763,56.88079346,55.35691886
42.87491929,27.50325454,61.94950855,83.45107763,56.88079346,55.35691886,42.36962057
27.50325454,61.94950855,83.45107763,56.88079346,55.35691886,42.36962057,61.78682445
61.94950855,83.45107763,56.88079346,55.35691886,42.36962057,61.78682445,108.8791393
83.45107763,56.88079346,55.35691886,42.36962057,61.78682445,108.8791393,85.3624012
56.88079346,55.35691886,42.36962057,61.78682445,108.8791393,85.3624012,27.65283369
55.35691886,42.36962057,61.78682445,108.8791393,85.3624012,27.65283369,34.46766662
42.36962057,61.78682445,108.8791393,85.3624012,27.65283369,34.46766662,25.94612738
61.78682445,108.8791393,85.3624012,27.65283369,34.46766662,25.94612738,23.37999166
108.8791393,85.3624012,27.65283369,34.46766662,25.94612738,23.37999166,49.04610959
85.3624012,27.65283369,34.46766662,25.94612738,23.37999166,49.04610959,54.50085464
27.65283369,34.46766662,25.94612738,23.37999166,49.04610959,54.50085464,47.18750013
34.46766662,25.94612738,23.37999166,49.04610959,54.50085464,47.18750013,53.74500354
25.94612738,23.37999166,49.04610959,54.50085464,47.18750013,53.74500354,64.55783922
23.37999166,49.04610959,54.50085464,47.18750013,53.74500354,64.55783922,44.6470766
49.04610959,54.50085464,47.18750013,53.74500354,64.55783922,44.6470766,41.37503725
54.50085464,47.18750013,53.74500354,64.55783922,44.6470766,41.37503725,74.44754248
47.18750013,53.74500354,64.55783922,44.6470766,41.37503725,74.44754248,47.39798383
53.74500354,64.55783922,44.6470766,41.37503725,74.44754248,47.39798383,4.808558416
64.55783922,44.6470766,41.37503725,74.44754248,47.39798383,4.808558416,12.09315114
44.6470766,41.37503725,74.44754248,47.39798383,4.808558416,12.09315114,33.1791732
41.37503725,74.44754248,47.39798383,4.808558416,12.09315114,33.1791732,25.66257938
74.44754248,47.39798383,4.808558416,12.09315114,33.1791732,25.66257938,30.25084581
47.39798383,4.808558416,12.09315114,33.1791732,25.66257938,30.25084581,23.60831338
4.808558416,12.09315114,33.1791732,25.66257938,30.25084581,23.60831338,48.38677896
12.09315114,33.1791732,25.66257938,30.25084581,23.60831338,48.38677896,82.62288987
33.1791732,25.66257938,30.25084581,23.60831338,48.38677896,82.62288987,95.45936505
25.66257938,30.25084581,23.60831338,48.38677896,82.62288987,95.45936505,71.58337168
30.25084581,23.60831338,48.38677896,82.62288987,95.45936505,71.58337168,48.0155491
23.60831338,48.38677896,82.62288987,95.45936505,71.58337168,48.0155491,36.86994577
48.38677896,82.62288987,95.45936505,71.58337168,48.0155491,36.86994577,24.49365734
82.62288987,95.45936505,71.58337168,48.0155491,36.86994577,24.49365734,28.63821678
95.45936505,71.58337168,48.0155491,36.86994577,24.49365734,28.63821678,26.61579774
71.58337168,48.0155491,36.86994577,24.49365734,28.63821678,26.61579774,35.14858414
48.0155491,36.86994577,24.49365734,28.63821678,26.61579774,35.14858414,90.73151366
36.86994577,24.49365734,28.63821678,26.61579774,35.14858414,90.73151366,105.820591
24.49365734,28.63821678,26.61579774,35.14858414,90.73151366,105.820591,80.89386107
28.63821678,26.61579774,35.14858414,90.73151366,105.820591,80.89386107,59.69679602
26.61579774,35.14858414,90.73151366,105.820591,80.89386107,59.69679602,35.75151978
35.14858414,90.73151366,105.820591,80.89386107,59.69679602,35.75151978,16.73949477
90.73151366,105.820591,80.89386107,59.69679602,35.75151978,16.73949477,73.746171
105.820591,80.89386107,59.69679602,35.75151978,16.73949477,73.746171,136.0608409
80.89386107,59.69679602,35.75151978,16.73949477,73.746171,136.0608409,
59.69679602,35.75151978,16.73949477,73.746171,136.0608409,,
35.75151978,16.73949477,73.746171,136.0608409,,,
16.73949477,73.746171,136.0608409,,,,
73.746171,136.0608409,,,,,
136.0608409,,,,,,
