Date,Open,High,Low,Close
2018-7-15,435.88,454.0,433.92,449.85
2018-7-14,434.51,439.43,431.47,436.09
2018-7-13,430.74,442.36,430.74,434.03
2018-7-12,446.5,446.5,422.81,430.07
2018-7-11,434.51,447.32,429.51,446.52
2018-7-10,476.16,478.32,433.96,434.42
2018-7-9,488.88,490.85,475.18,476.68
2018-7-8,492.07,503.2,488.42,489.12
2018-7-7,474.06,491.66,466.84,491.66
2018-7-6,474.36,479.65,457.62,474.01
2018-7-5,467.29,483.23,464.63,474.41
2018-7-4,464.15,481.44,455.19,467.32
2018-7-3,475.39,483.85,462.58,464.19
2018-7-2,453.82,479.13,447.11,475.35
2018-7-1,455.24,457.14,446.38,453.92
2018-6-30,436.21,458.8,436.21,455.18
2018-6-29,422.59,441.79,407.95,436.01
2018-6-28,442.29,443.62,419.68,422.37
2018-6-27,432.24,444.24,424.84,442.37
2018-6-26,460.73,461.21,432.77,432.77
2018-6-25,455.94,470.34,448.9,460.31
2018-6-24,474.77,475.36,426.47,457.67
2018-6-23,466.27,479.13,462.39,474.52
2018-6-22,527.19,527.19,456.88,465.82
2018-6-21,536.45,543.72,524.26,527.37
2018-6-20,538.51,541.01,519.37,536.27
2018-6-19,519.02,542.35,516.31,537.96
2018-6-18,499.38,521.8,494.07,518.89
2018-6-17,499.46,507.64,498.65,500.45
2018-6-16,490.41,503.22,488.85,499.64
2018-6-15,520.48,521.3,487.47,491.0
2018-6-14,478.38,523.54,467.47,519.74
2018-6-13,498.02,501.9,459.0,477.49
2018-6-12,532.71,538.96,491.24,496.84
2018-6-11,524.86,536.86,515.27,533.28
2018-6-10,594.35,594.35,511.89,526.48
2018-6-9,600.9,608.58,597.56,597.56
2018-6-8,605.44,608.81,595.59,601.08
2018-6-7,607.69,616.14,601.69,605.19
2018-6-6,610.26,611.64,596.4,607.12
2018-6-5,593.41,611.33,580.98,609.3
2018-6-4,619.44,623.43,583.75,592.99
2018-6-3,591.26,624.51,591.26,618.33
2018-6-2,580.43,597.08,577.32,591.81
2018-6-1,578.67,589.09,567.66,580.04
2018-5-31,558.5,585.54,557.07,577.64
2018-5-30,566.83,583.14,545.43,559.59
2018-5-29,516.15,572.26,516.15,565.39
2018-5-28,573.04,576.05,512.55,516.04
2018-5-27,588.52,590.33,562.87,572.67
2018-5-26,587.43,606.17,583.51,587.28
2018-5-25,602.14,617.19,575.62,586.73
2018-5-24,584.54,610.82,557.21,601.75
2018-5-23,646.67,651.64,572.95,583.59
2018-5-22,700.18,700.98,644.03,647.74
2018-5-21,717.19,719.28,692.49,699.22
2018-5-20,697.92,723.75,692.67,715.37
2018-5-19,695.07,715.58,686.79,696.53
2018-5-18,672.1,695.03,663.81,694.37
2018-5-17,708.72,718.83,668.83,672.66
2018-5-16,708.09,710.2,682.54,707.05
2018-5-15,731.14,739.05,701.0,708.87
2018-5-14,732.73,742.17,695.79,730.55
2018-5-13,687.17,741.31,675.32,733.5
2018-5-12,679.88,691.41,644.07,686.05
2018-5-11,727.01,736.98,669.83,679.59
2018-5-10,752.58,766.75,726.66,727.28
2018-5-9,752.9,759.53,718.47,752.27
2018-5-8,755.01,774.25,728.13,752.86
2018-5-7,793.34,795.76,710.18,753.73
2018-5-6,816.09,835.06,764.88,792.31
2018-5-5,784.58,827.46,784.24,816.12
2018-5-4,776.77,803.75,762.63,785.62
2018-5-3,686.59,784.34,686.59,779.54
2018-5-2,674.08,688.84,667.42,687.15
2018-5-1,670.46,674.4,637.54,673.61
2018-4-30,689.76,694.44,666.12,669.92
2018-4-29,683.91,697.76,670.51,688.88
2018-4-28,644.65,691.44,644.65,683.68
2018-4-27,662.11,684.87,647.03,647.03
2018-4-26,618.08,663.18,604.01,662.81
2018-4-25,707.06,707.06,600.21,615.42
2018-4-24,643.4,708.88,643.4,708.16
2018-4-23,621.2,646.7,621.03,642.55
2018-4-22,606.12,640.77,593.87,621.86
2018-4-21,616.0,621.89,578.55,605.39
2018-4-20,567.99,618.72,560.28,615.72
2018-4-19,524.04,567.89,523.26,567.89
2018-4-18,503.31,525.09,503.05,524.79
2018-4-17,511.14,518.03,502.56,502.89
2018-4-16,532.07,534.2,500.25,511.15
2018-4-15,502.88,531.7,502.88,531.7
2018-4-14,492.58,512.02,488.28,501.48
2018-4-13,493.16,526.47,482.66,492.74
2018-4-12,430.16,493.06,417.41,492.94
2018-4-11,415.02,430.54,412.47,430.54
2018-4-10,399.41,415.89,393.88,414.24
2018-4-9,400.86,429.25,390.61,398.53
2018-4-8,385.74,402.59,385.6,400.51
2018-4-7,370.38,393.06,369.94,385.31
2018-4-6,382.73,385.19,366.91,370.29
2018-4-5,379.95,387.72,369.82,383.23
2018-4-4,416.49,417.47,375.31,380.54
2018-4-3,387.31,418.97,383.53,416.89
2018-4-2,379.7,395.17,377.59,386.43
2018-4-1,397.25,400.53,363.81,379.61
2018-3-31,395.0,418.47,392.95,396.46
2018-3-30,385.9,409.93,368.63,394.64
2018-3-29,448.07,450.81,385.81,385.97
2018-3-28,450.29,466.21,444.86,446.28
2018-3-27,489.59,491.46,449.97,450.12
2018-3-26,524.29,526.38,470.44,489.95
2018-3-25,522.7,535.82,515.66,524.29
2018-3-24,542.57,545.38,526.08,526.44
2018-3-23,539.86,540.49,512.13,539.62
2018-3-22,562.1,577.57,523.09,539.7
2018-3-21,559.1,589.61,550.57,561.73
2018-3-20,556.72,567.09,521.2,557.17
2018-3-19,546.63,558.1,519.12,556.73
2018-3-18,551.64,551.64,460.09,538.64
2018-3-17,601.68,609.15,549.1,552.78
2018-3-16,611.78,623.17,587.86,601.67
2018-3-15,614.84,620.62,579.5,611.3
2018-3-14,691.22,702.78,594.1,614.29
2018-3-13,698.15,713.74,682.35,690.83
2018-3-12,724.41,742.51,683.27,699.83
2018-3-11,685.31,735.83,668.12,723.34
2018-3-10,730.16,748.03,682.7,686.89
2018-3-9,702.2,729.16,648.11,728.92
2018-3-8,752.57,773.77,696.17,704.6
2018-3-7,816.27,825.61,726.55,752.83
2018-3-6,853.82,853.82,809.93,816.95
2018-3-5,866.85,869.92,853.52,853.68
2018-3-4,856.19,867.95,840.28,866.68
2018-3-3,856.71,868.45,855.21,857.23
2018-3-2,871.76,876.38,852.42,856.85
2018-3-1,856.01,880.3,851.92,872.2
2018-2-28,877.93,890.11,855.12,855.2
2018-2-27,870.37,896.26,867.1,878.26
2018-2-26,845.28,880.39,842.32,869.32
2018-2-25,839.46,853.15,822.38,844.81
2018-2-24,861.59,879.53,818.55,840.51
2018-2-23,811.59,886.32,794.79,864.19
2018-2-22,849.26,875.93,802.67,812.85
2018-2-21,894.13,912.38,830.56,849.97
2018-2-20,943.57,965.26,892.95,895.37
2018-2-19,921.67,957.78,921.55,943.87
2018-2-18,973.35,982.93,915.45,923.92
2018-2-17,944.75,976.6,940.75,974.12
2018-2-16,934.79,950.0,917.85,944.21
2018-2-15,923.73,951.95,911.11,936.98
2018-2-14,844.28,926.43,844.28,923.56
2018-2-13,869.29,870.71,828.84,845.26
2018-2-12,817.51,875.94,817.51,868.71
2018-2-11,859.29,859.29,788.22,814.66
2018-2-10,882.47,917.4,825.58,860.41
2018-2-9,818.48,884.0,788.83,883.87
2018-2-8,755.84,845.09,755.84,817.81
2018-2-7,790.43,851.2,723.43,757.07
2018-2-6,707.74,796.44,574.42,793.12
2018-2-5,834.96,856.65,644.6,697.95
2018-2-4,964.67,969.03,805.06,834.68
2018-2-3,919.21,991.94,847.69,964.02
2018-2-2,1035.77,1035.77,757.98,915.78
2018-2-1,1119.37,1161.35,984.82,1036.79
2018-1-31,1071.09,1128.66,1034.5,1118.31
2018-1-30,1184.13,1184.63,1058.97,1071.13
2018-1-29,1246.7,1256.7,1169.08,1182.36
2018-1-28,1111.78,1257.77,1111.78,1246.01
2018-1-27,1055.75,1121.98,1042.12,1107.07
2018-1-26,1052.7,1080.6,996.78,1055.17
2018-1-25,1063.22,1104.66,1034.74,1056.03
2018-1-24,987.48,1062.44,965.81,1058.78
2018-1-23,1004.17,1023.23,920.54,986.23
2018-1-22,1055.35,1089.1,930.74,1003.26
2018-1-21,1155.68,1155.68,1021.5,1049.58
2018-1-20,1044.95,1167.11,1044.95,1155.15
2018-1-19,1028.82,1093.22,1003.71,1039.1
2018-1-18,1016.44,1100.31,967.76,1036.28
2018-1-17,1061.34,1090.23,780.92,1014.25
2018-1-16,1292.63,1292.63,875.54,1053.69
2018-1-15,1365.21,1390.59,1290.6,1291.92
2018-1-14,1397.48,1400.56,1286.21,1366.77
2018-1-13,1270.47,1432.88,1270.47,1396.42
2018-1-12,1158.29,1296.04,1120.09,1273.2
2018-1-11,1268.09,1337.3,1135.17,1154.93
2018-1-10,1300.34,1417.38,1226.6,1255.82
2018-1-9,1146.0,1320.98,1145.49,1299.74
2018-1-8,1158.26,1266.93,1016.05,1148.53
2018-1-7,1043.01,1153.17,1043.01,1153.17
2018-1-6,995.15,1060.71,994.62,1041.68
2018-1-5,975.75,1075.39,956.33,997.72
2018-1-4,961.71,1045.08,946.09,980.92
2018-1-3,886.0,974.47,868.45,962.72
2018-1-2,772.35,914.83,772.35,884.44
2018-1-1,755.76,782.53,742.0,772.64
